Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,1/1/2011,AUZS21100040,471,71,"1,752,826,514","352,833","87,651,528",74,"2,729,174,469","22,532,779","312,945","551,329,120","4,679,645,090","490,308,209",202,"301,048",474,115,"967,797",71,"878,651,542","1,581,901","15,266,983","37,339,828",,0
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,11/5/2015,USAT21502909,474,70.6,"1,859,886,400","161,156","90,365,431",78,"3,951,663,770","23,086,917","75,102","49,222,866","265,917,250","2,123,773,688",2,"82,648",52,110,"964,719",32,"174,287,836","153,399",,,,0
Oh No,Cold As Ice,Kreepa,12/13/2019,USUYG1287925,473,70.6,"40,284,121","14,548","3,212,878",41,"17,978,707","466,425","18,821,381","4,959,548,763","61,088,562,861","994,245",15,113,333,12,"240,117",4,"384,569","3,503",,"31,859",,1
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2/7/2019,USQX91900309,472,70.6,"858,059,276","181,654","27,803,039",70,"464,768,581","3,626,173","732,132","48,817,948","417,831,392","25,717,036",46,"31,276",73,16,"326,481",15,"102,388,116","214,657","144,090,448","2,592,470",,1
7 Years,Lukas Graham (Blue Album),Lukas Graham,6/16/2015,USWB11506516,475,70.5,"1,916,203,330","218,955","70,223,741",78,"2,155,590,787","17,104,498","1,080,789","102,852,730","877,998,186","1,859,362,069",176,"119,47",79,62,"247,841",29,"608,909,370","838,417","43,283,341",,,0
Something in the Orange,Something in the Orange,Zach Bryan,4/22/2022,USWB12201213,478,70.4,"891,578,597","134,151","56,220,971",82,"121,756,122","612,54","428,919","61,522,352","536,850,823","545,454,569",78,8,86,37,"4,894,376",69,"94,783,587","127,557","13,539,327","1,548,284",,0
AMARGURA,MA��ANA SER��,KAROL G,2/24/2023,USUM72222552,477,70.4,"629,102,459","31,206","51,913,972",81,"317,295,184","924,6","969,5","28,700,787","404,330,162","814,335,857",45,"46,179",387,30,"3,549,738",23,"38,480,759","8,821",,"1,252,595",,1
"Happy - From ""Despicable Me 2""",538 Hitzone Best Of 2013,Pharrell Williams,1/1/2013,USQ4E1300686,476,70.4,"1,379,786,786","204,118","68,556,599",75,"1,307,002,701","8,641,116","3,028,049","187,452,999","2,112,220,730","1,231,886,563",453,"304,081",,293,"1,837,708",117,"623,561,936","2,990,195",,"19,268,856",,0
I Wanna Party,I Wanna Party - Single,,5/31/2024,QZYFZ2445017,482,70.3,,,,,,,,,,,,,,,,,,,,,,0
Bailando Bachata,Bailando Bachata - Single,Chayanne,5/25/2023,USSD12201328,479,70.2,"136,724,343","15,391","18,104,979",72,"252,644,706","1,115,099","1,500,000","24,961,548","525,208,493","1,343,661,668",18,"39,119",4,25,"1,739,239",25,"15,483,578","5,649",,"1,152,569",,0
La Bebe (Remix) [Apple Music Live],Apple Music Live: Peso Pluma,Peso Pluma,12/6/2023,QMFMF2394976,480,70.2,,,,,,,"2,303,000","191,592,684","2,172,310,968",,,,33,,,,,,,"3,94",,0
Treat You Better,Treat You Better,Shawn Mendes,6/3/2016,USUM71604711,481,70.2,"2,164,074,552","183,26","79,238,401",80,"2,766,700,889","14,538,731","656,214","34,125,620","218,876,789","1,763,875,267",110,"229,473",361,370,"421,827",25,"406,331,285","165,727",,"9,988,881",,0
Feliz Cumplea��os Fe,Feliz Cumplea��os Fe,Feid,8/19/2022,USUM72215366,483,70.1,"944,833,760","84,3","40,737,356",78,"442,672,273","1,382,190","712,759","110,146,879","1,137,735,925","656,176,233",58,"35,382",847,29,"4,232,864",38,"5,607,959","2,694",,"1,105,660",,0
Let Her Go,Let Her Go,Passenger,7/27/2012,GBMQN1200012,484,70.1,"2,252,713,547","84,884","25,149,126",69,"3,967,431,755","18,261,574",822,"19,565,297","198,665,893","1,802,593,895",153,"128,38",,12,"16,047",14,"992,473,803","965,474","57,076,563",,,0
Fall Back,Fall Back / Selfish Game - Single,Lithe,3/21/2024,AUMEV2435468,485,70.1,"78,227,549","10,811","34,967,691",81,"18,048,583","346,316","1,827","366,7","5,400,000","10,740,206",59,604,,7,"10,139,201",36,"350,778","1,442","2,612,424","1,712,744",,0
Stressed Out,Stressed Out,Twenty One Pilots,4/28/2015,USAT21500597,482,70.1,"2,313,532,702","333,612","85,684,817",79,"3,241,796,669","22,573,742","440,911","82,148,305","664,725,202","508,271,083",10,"257,332",288,93,"590,706",50,,,,,,0
Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,1/1/2019,USAT22100017,486,70,"1,251,675,613","233,472","41,467,312",67,"1,001,433,936","13,378,087","149,047","21,845,741","338,873,585","559,326,384",245,"263,773","1,544",65,"1,861,112",35,"317,474,727","297,85",,"14,636,399",,1
All of Me,Love In The Future (South Africa Tour Edition),John Legend,1/1/2012,USSM11303954,487,69.8,"2,382,407,025","259,202","144,805,002",80,"3,064,193,777","17,820,289","536,497","59,268,693","643,209,321","1,769,031,393",295,"225,22",341,229,"2,030,488",107,"1,043,817,740","1,278,265",,"28,058,207",,0
2055,2055,Sleepy Hallow,4/14/2021,USRC12100442,488,69.7,"811,700,245","195,603","31,185,690",77,"168,936,854","1,450,642","321,061","90,460,360","752,325,431","214,637,799",39,"5,018",232,18,"217,873",8,"7,644,784","21,061","66,695,368","925,014",,1
Bandit,Bandit - Single,Don Toliver,2/1/2024,USAT22400561,490,69.6,"152,597,421","19,834","64,067,368",12,"6,556,571","181,948",,"5,037,290","98,100,600","578,162,886",27,"40,104","1,312",17,"1,282,315",37,"2,807,438","1,824","5,005,977","397,211",,1
Redbone,Redbone,Childish Gambino,11/17/2016,USYAH1600107,489,69.6,"1,615,152,539","377,159","51,251,842",76,"887,924,965","7,755,679","111,904","56,162,755","430,258,743","5,477,326",271,"52,893",137,69,"241,966",86,"283,815,218","303,599","87,687,804","12,370,090",,1
Yimmy Yimmy,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,Tayc,3/8/2024,USA2P2410436,491,69.5,"28,543,791","1,305","5,420,569",74,"148,165,738","1,392,549",,"2,333,587","37,252,006","44,349,246",6,,,3,"452,659",10,"4,285",8,,"291,383",,0
"This Is The Thanks I Get?! - From ""Wish""","This Is The Thanks I Get?! (From ""Wish"")",Chris Pine,10/25/2023,USWD12328244,492,69.4,"15,090,071","1,405","7,665,573",,"6,176,518","49,281","2,600,000","15,257,747","182,005,109","297,428",16,11,,1,18,7,"572,15","1,913",,"25,335",,0
We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gait��n - La G,11/19/2021,USWD12112915,493,69.4,"502,781,351","57,858","20,151,204",68,"749,366,767","5,566,798","601,478","415,546,697","3,341,780,836","65,811,641",88,"22,082",,8,"183,506",34,"66,651,535","277,556","5,144,020","828,77",,0
You Proof,You Proof,Morgan Wallen,5/13/2022,USUG12203266,494,69.3,"644,437,397","64,367","18,795,673",79,"141,964,689","814,824","128,357","28,267,176","327,463,451","437,506,457",49,"340,292",301,7,"100,845",29,"272,571,584","45,356","6,380,974","899,954",,0
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,9/3/2021,USUM72119916,495,69.2,"1,502,382,072","240,419","57,503,380",75,,,"913,2","449,105,708","4,053,240,923",,118,"137,391",,55,"2,576,050",65,"36,985,295","73,848",,,,0
Break My Heart,Break My Heart,Dua Lipa,3/25/2020,GBAHT1901303,496,69.2,"1,198,689,895","130,486","49,149,923",71,"761,387,435","6,874,611","975,132","134,321,535","1,509,626,629","2,047,745,592",203,"586,919",348,301,"405,292",37,"190,687,007","33,201",,"6,690,156",,0
Shut Down,BORN PINK,BLACKPINK,9/16/2022,KRA402200020,497,69,"654,818,451","39,852","17,682,503",67,"633,781,726","11,421,404","844,032","374,048,198","3,365,539,262","383,386,318",34,"18,744",201,15,"202,016",29,"2,834,793","6,453",,"909,449",,0
Regalo De Dios,PRESENTE,Juli��n ��lvarez y su Norte�,11/17/2023,QZ7HP2300092,498,68.9,"205,050,873","6,236","32,107,085",81,"242,715,015","1,024,215",,"1,66","20,904","1,291,400,606",7,"2,838",,8,"2,174,143",8,"7,709,559","5,232",,"750,457",,0
Never Let Go,Never Let Go - Single,Jung Kook,6/7/2024,USA2P2431076,499,68.9,"26,891,849",722,"63,940,453",81,"5,611,228","686,901",,,,,57,279,,25,"2,485,160",49,"483,333",20,,"32,683",,0
Toyour ���,Amrat ����,Rasha Nahas,1/20/2023,QMEU32211578,500,68.9,"11,36",26,"3,294",6,"854,850,866","6,612",,,,,,16,,,,,,,,264,,0
Chill Vibes,Chill Vibes,Tollan Kim,3/31/2022,SGB502214297,501,68.8,"1,212,312",560,"367,54",32,"668,067","10,341","9,268,296","888,782,233","14,162,352,713",,,1,,1,6,,"29,241","1,149",,"46,761",,0
MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,10/11/2018,USWB11802236,503,68.7,"1,318,254,846","159,832","44,868,247",71,"1,572,511,545","8,633,372","535,956","20,456,871","244,589,825","518,407,208",163,"104,438",100,94,"1,189,554",66,"219,127,089","82,409","36,852,822","6,952,792",,0
Toosie Slide,Toosie Slide,Drake,4/3/2020,USUG12001281,505,68.7,"1,059,262,917","200,623","36,388,485",64,"507,137,305","5,604,031","3,039,186","404,119,328","3,734,881,670","352,518,335",146,"185,567",31,79,"1,163,129",30,"122,896,641","156,657",,"5,308,249",,1
MIENTRAS ME CURO DEL CORA,MA��ANA SER��,KAROL G,2/24/2023,USUM72300862,506,68.7,"426,341,106","29,511","24,418,991",76,"304,538,874","2,238,586","1,577,292","68,382,766","871,654,140","172,894,442",22,"31,573",131,18,"2,850,884",57,"18,389,679","4,957",,"587,533",,0
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401031,504,68.7,"210,385,853","5,179","38,317,286",80,"18,713,330","225,439","46,8","9,697,319","65,541,536","934,654",92,"3,721",,6,"2,177,148",80,"6,242,005","4,341","166,934","84,774",,1
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,6/28/2019,USUM71911808,502,68.7,"907,346,612","200,091","36,757,073",69,"372,311,322","3,400,085","145,147","27,666,027","245,290,801","39,893,642",91,644,34,15,"102,131",7,"161,252,380","131,927","124,054,000","5,562,800",,1
La llama que Baila,La llama que Baila,El Reino Infantil,6/10/2022,ARF062200275,508,68.5,"665,611",145,"25,771",22,"1,209,387,613","3,358,774",,,,,2,1,,,,,,,,,,0
Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,5/16/2024,USAT22402805,507,68.5,"33,661,899","3,565","32,881,291",79,"3,729,783","62,696",,"201,6","1,441,200","180,045,931",8,"14,021",1,5,"6,338",47,"5,036,410","1,867","262,244","109,089",,0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5/6/2022,USRC12201441,509,68.2,"553,783,547","83,45","40,562,156",68,"238,368,386","2,671,201","481,825","313,806,405","2,994,040,421","62,996,039",57,"355,757","1,832",25,"274,193",51,"80,033,346","22,268",,"3,470,453",,1
El Merengue,El Merengue - Single,Marshmello,3/3/2023,USSD12300040,510,68.2,"528,420,867","59,791","80,570,021",75,"211,317,309","842,146","252,314","28,930,444","451,806,178","317,407,332",84,"103,743",117,70,"3,574,930",97,"13,770,084","2,95",,"3,007,373",,0
Made For Me,Made For Me,Muni Long,9/15/2023,USUG12307428,513,68.1,"142,945,230","13,253","40,716,529",76,"66,893,881","833,116",887,"2,044,007","17,122,064","714,859,998",59,"181,747",401,41,"9,215,342",50,"32,652,221","30,096",,"2,466,891",,0
Let's Go 4,Let's Go 4,Mc IG,9/11/2023,BXG6R2300792,511,68.1,"269,785,626","27,317","24,472,348",,"286,261,279","1,999,463",,,,"1,110,835,700",11,,,38,"9,909,048",19,,,"35,05","417,614",,1
TELEKINESIS,UTOPIA,Travis Scott,7/28/2023,USSM12305019,512,68.1,"313,693,195","92,838","14,575,457",75,"31,625,039","372,407","7,369","3,576,724","32,670,713","1,382",17,232,,8,"61,212",10,"655,691","3,601",,"809,119",,1
Daqui pra Sempre,Daqui pra Sempre,Manu,9/22/2023,QZTPX2351515,514,68,"181,784,966","12,794","30,495,153",76,"340,975,288","1,553,160",,6,179,"1,293,752,603",17,"3,29",,42,"8,789,193",19,,,,"329,363",,0
Martin & Gina,THE GOAT,Polo G,5/15/2020,USQX92002595,516,68,"885,756,212","212,406","24,064,966",76,"226,717,718","2,205,890","340,101","27,626,217","200,329,006","3,481,432",46,"12,382",51,9,"33,343",,"56,515,925","46,63","92,358,945","1,642,067",,1
"thank u, next","thank u, next",Ariana Grande,11/3/2018,USUM71819361,515,68,"1,878,196,824","134,913","54,753,824",73,"1,479,999,649","20,977,857","1,542,901","119,391,916","982,464,070","919,652,612",238,"190,014",400,371,"885,834",87,"263,689,593","359,639",,"26,082",,1
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,4/4/2016,USCM51600028,518,67.9,"3,192,204,066","379,853","131,832,723",82,"456,806,913","5,068,762","2,381,341","51,227,212","388,544,079","6,670,180",550,"184,311",932,165,"1,383,884",97,"714,508,129","601,041",,"21,316,589",,0
ily (i love you baby) (feat. Emilee),ily (feat. Emilee),Surf Mesa,11/26/2019,QZJRC1945204,517,67.9,"912,461,674","160,875","50,549,340",70,"200,055,211","2,666,083","7,407,429","285,084,510","3,076,620,938","19,649,172",210,"270,224",389,124,"834,608",50,"135,049,021","49,762","62,715","8,738,165",,0
Hope,?,XXXTENTACION,3/16/2018,USUG11800447,519,67.8,"1,442,703,001","201,082","35,338,608",78,"460,915,912","7,439,249","699,601","36,684,132","325,870,631","1,874,799",15,4,4,5,"2,958",6,"72,855,904","120,369","173,136,245","4,703,306",,1
TRUSTFALL,TRUSTFALL,P!nk,1/27/2023,USRC12204190,520,67.6,"255,898,884","35,61","35,412,821",65,"95,799,266","746,279","63,475","9,770,601","112,935,118","391,385,059",80,"420,11",74,38,"2,641,584",73,"43,499,109","6,473",,"3,282,634",,0
Intentions (feat. Quavo),Intentions,Justin Bieber,2/7/2020,USUM72001302,521,67.5,"1,177,960,398","124,387","38,596,274",69,"1,048,571,287","8,326,026","532,22","56,736,712","517,889,307","2,283,133,309",250,"368,08",147,82,"1,109,498",33,"188,459,753","85,534",,"4,952,770",,0
PRC,PRC,Peso Pluma,1/24/2023,QM4TW2315684,522,67.4,"668,103,212","52,04","23,580,184",69,"417,352,534","2,399,654",,63,"1,213","143,646,060",52,834,3,4,"1,056,738",8,"50,081,670","10,114",,"889,406",,1
Lemonade,Lemonade,Internet Money,8/14/2020,QZJ842000368,523,67.3,"1,320,495,311","280,937","43,396,860",12,"446,997,037","4,911,417","1,028,504","178,619,501","1,355,578,291","232,205,977",191,"1,353",147,67,"1,457,645",3,"100,566,058","32,236",,"4,854,882",,1
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,11/6/2020,USSM12006586,524,67,"927,908,363","192,182","29,317,288",69,"201,781,716","2,768,029","1,806,340","276,254,807","2,189,403,368","106,102,604",179,"534,728",803,41,"391,181",22,"78,876,080","52,624",,,,1
Sensational (feat. Davido & Lojay),Sensational (feat. Davido & Lojay) - Single,Chris Brown,10/20/2023,USRC12302777,527,66.9,"70,652,012","20,841","15,882,127",,"74,067,917","702,482",,"1,361,002","13,499,846","518,987,600",47,"145,261",16,23,"351,301",38,"14,468,521","5,744","1,615,978","1,275,094",,1
LET GO,LET GO,Central Cee,12/15/2022,US39N2203950,526,66.9,"415,699,405","131,562","25,729,246",70,"120,716,253","1,505,981","71,8","43,271,885","459,919,455","39,958,162",37,"59,291",271,24,"581,393",41,"3,691,271","1,12",,"1,781,022",,1
Blister In The Sun,Violent Femmes (Deluxe Edition),Violent Femmes,12/1/2023,USC4R2338087,525,66.9,"250,321,751",34,302,,,,,,,,8,,,,,,"204,482,906","105,31",,,,0
Savage (feat. Beyonc��) - R,Savage (feat. Beyonc��) [Re,Megan Thee Stallion,4/29/2020,QMCE32000145,528,66.8,"428,986,855","49,403","19,102,863",57,"179,237,329","1,934,526","11,268,723","807,114,884","7,823,796,917","15,380,362",151,"162,045",82,60,"136,408",8,"86,651,635","74,696",,"2,104,217",,1
No Idea,No Idea,Don Toliver,5/29/2019,USAT21903300,529,66.8,"922,761,340","176,497","26,466,335",74,"469,284,408","5,223,780","5,114,497","684,428,445","5,254,571,599","110,233,854",99,"6,06",48,42,"178,187",3,"6,865,074","48,657","64,436,371","4,594,225",,0
Love Yourself,Love Yourself,Justin Bieber,11/9/2015,USUM71516761,530,66.8,"2,423,583,406","221,55","85,152,861",78,"2,154,325,842","11,828,484","412,296","54,794,151","546,197,873","1,521,238,263",287,"216,976",210,114,"644,719",68,"579,271,026","399,649",,"16,182,850",,0
T�� ,Dolido Pero No Arrepentido - EP,Fuerza Regida,2/9/2024,QZ9QQ2400125,531,66.7,"188,154,454","6,068","47,264,152",82,"124,152,999","632,963",,"2,121,100","27,500,000","528,622,354",32,18,,13,"1,810,337",6,"6,288,446","4,696",,"445,052",,0
Cari Mama Muda (Senorita Joven) - Original Mix,Cari Mama Muda (Senorita Joven),Carella,2/13/2021,ITH642025474,532,66.6,"149,072",53,"14,039",7,,,"13,600,432","29,203,710","339,961,056",,,,,,,,,,,857,,0
Need A Favor,NEED A FAVOR,Jelly Roll,12/9/2022,QMRSZ2203220,533,66.5,"166,866,092","26,335","16,587,886",73,"49,337,131","600,551","56,261","9,453,847","133,788,711",,,"484,892",115,,,,"127,959,443","29,847","2,007,248","1,174,949",,0
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),Jasleen Royal,7/25/2023,INW262317690,534,66.4,"296,399,608","19,549","12,641,512",74,"387,713,750","3,452,796",,"2,047,685","38,736,854","97,316,722",,604,,1,"1,097",19,,,,,,0
Work from Home (feat. Ty Dolla $ign),Pop Party,Fifth Harmony,1/1/2016,USSM11600251,535,66.4,"1,429,277,695","126,593","41,728,493",71,"2,888,870,306","12,986,504","1,577,534","83,366,309","1,155,210,017","1,722,808,916",206,"60,579",227,93,"463,563",18,"522,618,482","298,209",,"10,883,810",,0
Anabella,Anabella,Khaid,7/14/2023,US23A1566792,536,66.3,"14,645,123","2,424","586,834",52,"28,065,515","194,782","3,325,481","18,297,800","222,489,625","55,637,507",6,"1,101",,,,,"57,777",,,"982,458",,1
Cuando Te Am�,Cuando Te Am�� - Si,Cupula Roja,6/8/2024,UKXN22459926,537,66.3,,,,,"97,907",436,,,,,,,,,,,,,,"837,439",,0
Bam Bam (feat. Ed Sheeran),#NAME?,Camila Cabello,10/29/2021,USSM12200047,539,66.2,"907,821,800","106,835","71,070,491",68,"242,506,280","2,540,594","165,069","54,851,263","702,113,761","4,973,499,360",152,"478,141","1,115",98,"2,702,560",79,"47,200,073",18,,"7,126,240",,0
The Motto,The Motto,Ti��,11/4/2021,CYA112001070,540,66.2,"818,199,643","147,373","98,477,761",70,"300,558,745","1,923,570","121,422","28,637,203","591,641,859","2,987,052,499",223,"219,365","1,085",129,"3,090,312",73,"99,191,606","14,575",,"4,987,597",,0
Single Soon,Single Soon,Selena Gomez,8/25/2023,USUM72310919,538,66.2,"205,555,865","18,831","38,391,532",70,"62,487,981","1,546,366","68,6","22,643,113","237,154,932","1,218,609,754",71,"240,483",504,42,"8,773,245",71,"25,564,674","4,7",,"1,178,404",,0
Falling Down - Bonus Track,Falling Down,Lil Peep,9/19/2018,USQX91802294,541,66.1,"1,156,060,152","189,32","31,366,549",76,"402,381,959","5,703,867","71,568","19,623,543","153,710,600","15,276,414",31,"13,034",,13,"184,67",15,"76,107,776","61,292","163,972,594","3,142,956",,1
Close,Close - Single,Kush & TJ,9/14/2023,QZTAX2379776,543,65.9,,,,,,,,,,,,,,,,,,,,"33,097,904",,0
Sin Pijama,Sin Pijama,Becky G,4/20/2018,USSD11800157,542,65.9,"785,389,574","70,607","24,678,614",61,"2,377,255,570","10,176,631","4,050,216","68,127,919","989,856,037","363,969,139",86,"17,546",113,46,"189,42",54,"90,287,323","55,796",,"4,130,954",,0
Wasted On You,Dangerous: The Double Album,Morgan Wallen,1/8/2021,USUG12004194,545,65.7,"717,226,454","73,851","11,500,647",79,"404,363,419","2,296,639","55,649","7,599,044","86,145,458","350,781,335",41,"391,795",273,3,"5,348",7,"431,750,490","127,122","14,272,948","2,061,209",,0
BREAK MY SOUL,BREAK MY SOUL,Beyonc�,6/21/2022,USSM12206234,544,65.7,"443,564,590","80,121","43,604,917",64,"122,345,818","1,753,026","247,082","93,051,722","1,231,848,412","4,088,928,383",210,"436,049","1,089",73,"1,986,611",115,"24,808,925","23,163","4,766,826","2,682,867",,0
Nimbu Kharbuja Bhail 2,Nimbu Kharbuja Bhail 2,Khesari Lal Yadav,12/11/2023,ING642308945,546,65.6,"9,396,018",139,"195,881",,"286,293,095","1,983,672",,,,"898,221,577",,,,,,,,,,"12,438",,0
Murder In My Mind,Murder In My Mind,Kordhell,1/21/2022,QM4TW2218315,547,65.6,"668,285,368","120,095","62,454,609",74,"135,561,359","1,695,128","1,103,489","258,958,538","2,877,613,437",,21,508,338,7,"127,461",10,"5,328,696","7,896","38,200,577","2,597,736",,1
Unstoppable,Unstoppable,Sia,1/21/2016,USRC11502934,548,65.5,"1,285,237,951","166,761","75,244,498",76,"1,383,536,938","11,277,243","7,657,876","920,079,246","14,808,888,629","2,811,155,497",124,"654,509",549,86,"1,468,966",52,"92,645,908","86,88",,"15,422,384",,0
traitor,SOUR,Olivia Rodrigo,5/21/2021,USUG12101243,550,65.5,"1,564,979,439","150,597","73,290,053",80,"500,794,182","7,451,635","453,412","392,179,677","2,639,611,818","2,578,474,407",147,"93,825",182,29,"150,235",25,"64,240,084","79,459",,"3,156,314",,0
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,9/16/2016,USSM11607555,549,65.5,"2,396,737,761","381,756","90,317,118",82,"1,334,796,210","12,947,143","1,025,273","181,634,476","1,545,294,272","202,525,787",210,"38,443",51,82,"2,173,347",30,"350,431,346","278,196",,"8,025,643",,1
DIME QUE,DIME QUE,Ian G.,7/16/2021,QZS632157305,559,65.4,,,,,,,,,,,,,,,,,,,"210,524,496",5,,0
Qu�� M��,Qu�� M��,J Balvin,5/28/2021,QZM5U2100064,552,65.3,"811,810,737","117,049","31,186,381",67,"874,107,993","4,127,669","914,703","200,383,930","1,748,578,220","176,466,990",108,"43,75",105,34,"1,198,593",72,"23,369,752","4,765",,"1,744,699",,0
Hrs and Hrs,Public Displays of Affection,Muni Long,11/19/2021,QZAKB2136210,551,65.3,"241,632,869","58,384","11,312,967",67,"179,211,319","1,646,854","2,843,662","390,407,298","3,549,690,741","106,620,435",38,"211,697",550,7,"462,675",36,"147,650,715","84,029","12,316,319","2,325,531",,1
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,4/12/2019,QM6MZ1917908,553,65,"1,165,842,896","62,333","28,686,399",70,"2,104,797,932","35,291,841","1,944,635","287,006,154","2,199,922,028","161,956,996",111,"26,812",62,31,"612,134",26,"18,793,416","29,53",,"3,328,531",,0
Broccoli,Broccoli - Single,ati2x06,1/17/2024,ES64E2455101,626,64.9,"846,435,891",1,42,,,,,,,,,,,,,,,,,,,0
Angel Baby,Angel Baby,Troye Sivan,9/9/2021,AUUM72100371,554,64.9,"533,416,336","51,383","15,263,459",68,"293,168,763","2,744,278","6,384,142","410,346,965","4,418,855,338","1,548,038,923",49,"31,921",23,15,"12,354",25,"1,140,347","2,75",,"1,409,744",,0
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,9/3/2021,USUG12104403,555,64.7,"559,759,920","159,492","30,567,448",67,"190,901,062","2,026,532","763,5","263,361,535","2,410,691,959","190,621,640",102,"3,271",750,27,"359,622",45,"72,871,746","170,628","21,747,449","2,092,908",,1
Bhauji Lenge Lenge,Bhauji Lenge Lenge,Khesari Lal Yadav,4/5/2024,ING642402634,556,64.6,"1,319,711",27,"200,816",,"105,682,742","819,009",,,,,,,,,,,,,,"2,69",,0
SORRY 4 THAT MUCH,SORRY 4 THAT MUCH,Feid,6/7/2024,USUM72406641,557,64.5,"8,757,910","1,184","87,529,320",71,"3,466,744","141,011","9,478","3,201,272","25,443,365","973,9",51,220,,21,"3,488,226",31,"126,541",36,"18,913","57,091",,1
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,M��ne,3/19/2021,ITB002100115,558,64.4,"1,053,626,902","240,281","35,343,056",77,"286,243,073","5,394,802","415,619","226,005,917","1,755,214,047","275,474,626",117,"53,353",185,50,"1,407,171",44,"18,935,940","25,775",,"6,698,043",,1
PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,4/29/2022,USSM12203787,560,64.3,"395,167,576","135,307","21,175,776",71,"117,364,602","803,99","31,391","6,266,752","66,661,123","325,170,705",31,"1,129",135,6,"83,735",4,"14,036,841","8,254","36,310,823","1,076,988",,1
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,9/29/2023,USA2P2346470,559,64.3,"573,249,007","27,154","33,077,841",74,"166,687,005","4,539,515","30,142","9,786,252","66,859,275","1,859,365,360",19,,25,30,"1,569,004",49,"2,506,963","1,609",,"1,379,108",,1
XO Tour Llif3,XO TOUR Llif3,Lil Uzi Vert,3/24/2017,USAT21700684,562,64.2,"2,123,458,039","59,071","11,326,598",24,"243,662,429","2,597,999","12,978","2,359,976","17,150,790","1,106,864",210,"37,617",,21,"230,295",20,"373,744,739","241,816","264,706,631","5,943,217",,1
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,10/28/2022,QMJMT2204481,563,64.2,"378,282,960","66,018","36,625,617",65,"44,883,383","477,531","676,437","120,792,885","1,367,774,822",,109,"244,607",4,56,"951,077",79,"70,799,533","27,709",,"5,877,217",,0
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,7/28/2023,GBARL2300798,561,64.2,"226,519,256","43,558","87,204,848",75,"51,312,470","504,978","1,946","80,07","2,439,093","524,372,800",89,"133,567",35,98,"1,777,050",31,"3,204,383",408,"4,424,240","2,178,835",,0
Cute,Cute,Aurel Surya Lie,8/29/2022,SGB502236207,564,64.1,"142,732",90,"4,986",21,"195,295","5,143","6,975,800","319,088,576","5,316,677,737",,,,,,,,,,,"21,634",,0
Cold Heart - PNAU Remix,Diamonds (Deluxe),Elton John,11/10/2017,GBUM72104705,565,64,"2,011,121,774","314,601","173,805,568",77,"545,470,329","2,971,579","472,726","57,732,873","943,751,388","4,809,912,436",441,"657,334",,302,"15,295,344",147,"219,173,521","71,766",,"18,802,954",,0
Con Altura,Con Altura,ROSAL�,3/28/2019,USSM11900950,566,63.9,"770,653,954","81,459","36,880,651",66,"2,296,478,541","10,488,884",216,"24,907,115","353,024,939","485,556,969",194,"27,554",431,81,"940,235",66,"42,954,487","21,247",,"2,990,649",,0
������ (HEYA),IVE SWITCH,IVE,4/29/2024,QM4TX2478220,568,63.8,"32,189,908","1,646","17,870,918",60,"56,484,359","869,83",,"2,558,230","19,697,730",,26,642,,8,"159,862",20,"52,017",28,"80,824","58,57",,0
